Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
PROPRIET,,,,,,,,,,919.0467,919.0467
,BEVERAGE - ,,,,,,,,,3.1636,3.1636
,,ACQUA - ,,,,,,,,3.1636,3.1636
,,,BEV.ACQ.00008,ACQUA NATURALE SORGESANA  2LTX6,BT,BT,1.0,0.2037,24,3.1636,3.1636
,FOOD - ,,,,,,,,,307.1336,307.1336
,,FRUTTFRE - ,,,,,,,,307.1336,307.1336
,,,FOO.FRU.00001,ANANAS,KG,GR,1000.0,2.3699,4,9.4328,9.4328
,,,FOO.FRU.00003,LIMONI,KG,GR,1000.0,2.7427,0.5,0.8079,0.8079
,,,FOO.FRU.00008,ANGURIA,KG,GR,1000.0,1.4229,42,65.4078,65.4078
,,,FOO.FRU.00009,MELONE CANTALUPO,KG,GR,1000.0,1.821,6,10.669,10.669
,,,FOO.FRU.00010,MELONE GIALLO,KG,GR,1000.0,1.489,6.5,11.5578,11.5578
,,,FOO.FRU.00012,KIWI,KG,GR,1000.0,7.5,22.5,106.7183,106.7183
,,,FOO.FRU.00013,PESCHE GIALLE,KG,GR,1000.0,2.5,15.1,39.18,39.18
,,,FOO.FRU.00014,PERCOCHE,KG,KG,1.0,2.5,13.1,36.68,36.68
,,,FOO.FRU.00016,ALBICOCCHE,KG,GR,1000.0,2.9,9.2,26.68,26.68
,PROPDIRE - ,,,,,,,,,256.43,256.43
,,PROPDIRE - ,,,,,,,,256.43,256.43
,,,ACQNETTO,ACQUISTO SUPERMERCATO NETTO,PZ,PZ,0.0,52.13,8,256.43,256.43
,PULIZIA - ,,,,,,,,,302.8195,302.8195
,,DETERGEN - ,,,,,,,,302.8195,302.8195
,,,PUL.DET.00005,DETERGENTE SYD VETRI 750MLX12PZ,PZ,PZ,1.0,2.3411,9,15.0912,15.0912
,,,PUL.DET.00041,DETERGENTE PAVIMENTI POM SUMMER 5KGX4,PZ,PZ,1.0,19.5183,4,78.0733,78.0733
,,,PUL.DET.00043,DASH LIQUIDO 4LTX2,PZ,PZ,1.0,14.0,6,132.0,132.0
,,,PUL.DET.00044,DETERSIVO IN POLVERE X LAV. SUTTER 15KG,PZ,PZ,1.0,28.455,1,28.455,28.455
,,,PUL.DET.00048,CHANTECLAIRE BICARBONATO 1CTX12PZ,PZ,PZ,1.0,2.5,24,49.2,49.2
,VARIE - ,,,,,,,,,49.5,49.5
,,MONOUSO - ,,,,,,,,49.5,49.5
,,,VAR.MON.00025,SALVALIQUIDI OVALI G1500 1CFX50PZ,PZ,PZ,1.0,0.33,150,49.5,49.5
,,,,,,,,,TOTALE,919.0467,919.0467
