Data,Mese_Nome,Valore
2024-04,April,17344.3086
2024-05,May,26384.4741
2024-06,June,41762.2674
2024-07,July,52999.2799
2024-08,August,55580.6364
2024-09,September,43253.5909
2024-10,October,27057.3478
2024-11,November,3683.3509
2024-12,December,220.8724
2024-Evento Ferragosto 2024.csv,Evento Ferragosto 2024.csv,2770.3618
2024-Evento Ludovici 2024.csv,Evento Ludovici 2024.csv,268.137
2024-Evento Reisen 2024.csv,Evento Reisen 2024.csv,100.1
2024-Evento Viamundi 2024.csv,Evento Viamundi 2024.csv,397.92269999999996
